4,1,10,155,19,135,180,92,156,470,18,468,113,55,799,179,76,457
11,1,10,478,92,570,240,60,118,180,99,469,404,404,404,369,84,158
18,1,10,120,32,660,270,99,568,147,28,170,370,9,900,237,29,379
25,1,10,567,86,330,404,404,404,340,77,188,126,99,180,348,57,133
1,2,10,134,89,126,137,13,139,125,86,240,147,24,356,280,9,478
8,2,10,158,40,235,144,99,469,370,1,344,145,8,468,148,36,448
15,2,10,137,16,466,800,81,588,470,16,790,130,46,277,119,13,670
22,2,10,146,13,148,380,19,379,357,51,579,259,60,145,460,7,250
1,3,10,404,404,404,180,96,790,780,56,150,378,84,789,260,87,458
8,3,10,900,98,116,127,4,130,227,14,130,456,53,157,167,47,700
15,3,10,780,52,390,589,20,127,149,42,570,446,41,380,179,79,667
22,3,10,125,86,268,249,51,380,139,37,566,469,91,137,336,23,346
29,3,10,137,18,224,259,62,480,588,10,226,130,49,117,569,7,250
5,4,10,248,45,456,460,5,113,136,7,179,350,85,348,358,66,114
12,4,10,338,45,500,127,7,278,190,2,147,336,29,289,236,18,800
19,4,10,268,66,259,890,73,229,789,42,156,389,3,788,160,75,113
26,4,10,270,90,370,569,2,147,277,61,335,259,67,340,278,73,247
3,5,10,340,71,489,378,88,260,468,85,168,170,87,368,234,91,128
10,5,10,899,60,569,330,65,168,900,90,127,180,96,880,135,94,248
17,5,10,340,72,570,256,39,559,390,27,700,566,71,669,390,20,668
24,5,10,239,49,478,348,51,128,136,3,670,237,21,128,358,68,350
31,5,10,230,58,378,267,55,267,340,75,249,239,44,770,149,47,368
7,6,10,289,97,700,290,11,560,300,39,478,140,55,168,266,48,189
14,6,10,149,47,359,128,11,236,339,53,490,268,68,459,114,62,246
21,6,10,159,55,249,199,99,360,680,47,250,588,17,377,390,22,246
28,6,10,356,42,129,288,84,158,224,80,389,480,27,467,370,2,688
5,7,10,404,404,404,250,71,399,347,48,260,123,60,479,119,15,249
12,7,10,380,14,130,244,9,289,370,6,790,289,97,340,689,33,490
19,7,10,158,49,379,229,38,990,240,67,133,168,54,400,128,17,269
26,7,10,458,71,236,129,26,178,147,20,118,278,74,149,670,39,469
2,8,10,267,57,179,280,0,145,269,75,780,380,15,140,158,42,147
9,8,10,499,22,110,299,5,456,169,66,123,129,26,790,550,3,355
16,8,10,459,88,440,147,28,170,136,9,577,134,87,278,347,48,990
23,8,10,566,75,456,404,404,404,139,36,123,256,31,245,189,80,235
30,8,10,224,87,359,489,14,446,190,5,230,346,31,290,460,9,129
6,9,10,249,53,670,130,40,226,256,31,579,690,56,169,404,404,404
13,9,10,140,51,489,577,96,277,389,9,379,118,4,680,489,16,240
20,9,10,380,17,890,124,75,348,790,64,680,345,28,350,259,64,239
27,9,10,779,35,168,268,68,189,223,70,460,260,87,278,340,74,248
4,10,10,238,37,449,267,52,200,390,23,157,129,27,566,123,62,129
11,10,10,177,55,258,280,6,600,446,43,445,156,23,580,579,11,245
18,10,10,129,25,366,349,66,178,170,88,378,347,45,113,168,56,178
25,10,10,456,53,300,380,13,670,140,52,345,678,13,238,234,90,488
8,11,10,404,404,404,389,3,157,577,99,568,126,92,110,580,32,336
15,11,10,234,91,669,447,50,244,289,93,256,388,93,148,236,14,356
22,11,10,136,6,268,269,77,359,450,93,238,258,51,290,125,83,779
29,11,10,490,37,890,220,40,668,236,13,120,588,14,789,780,56,114
6,12,10,137,12,336,368,75,168,348,55,140,359,70,235,789,40,127
13,12,10,290,18,288,779,31,489,124,77,458,669,12,147,404,404,404
20,12,10,148,37,458,677,1,245,200,24,680,230,51,236,117,58,468
27,12,10,145,3,256,390,29,360,138,27,368,567,83,247,689,30,280
3,1,11,346,38,477,139,36,169,125,86,457,155,19,478,557,77,359
10,1,11,566,71,137,580,34,130,667,98,238,346,38,350,404,404,404
17,1,11,380,13,788,470,17,449,689,30,136,138,29,360,557,73,670
24,1,11,158,49,199,347,46,457,404,404,404,660,25,447,689,37,133
31,1,11,145,1,579,669,17,890,135,96,457,369,89,135,118,2,110
7,2,11,370,5,780,117,96,259,345,22,345,599,34,680,679,24,446
14,2,11,270,90,479,379,99,568,400,49,469,360,95,500,168,58,233
21,2,11,245,19,135,160,76,123,230,53,580,136,4,167,578,1,470
28,2,11,560,14,356,145,4,770,477,86,169,468,82,778,169,62,679
7,3,11,379,99,478,378,89,270,129,26,240,357,55,168,290,12,778
14,3,11,233,83,256,157,32,129,160,70,233,338,41,344,590,41,137
21,3,11,440,87,278,344,18,558,124,78,459,589,26,114,599,30,235
28,3,11,257,49,234,669,18,170,138,24,338,199,94,257,367,61,489
4,4,11,350,89,559,479,6,600,348,55,456,480,27,458,560,15,267
11,4,11,456,55,690,150,64,400,158,46,600,688,26,349,160,79,900
18,4,11,349,61,470,440,86,178,450,95,348,389,2,110,455,41,560
25,4,11,350,80,677,690,55,230,134,83,490,670,33,346,567,89,234
2,5,11,135,96,178,570,28,134,456,54,257,257,43,120,130,43,580
9,5,11,146,12,237,188,71,236,600,65,500,227,18,459,278,75,267
16,5,11,279,82,679,378,80,578,190,2,119,190,3,779,170,80,244
23,5,11,234,95,339,278,76,150,458,78,558,225,91,399,258,56,150
30,5,11,478,91,335,236,18,350,159,58,378,115,73,599,127,3,445
6,6,11,660,25,249,289,91,669,133,71,137,247,34,789,467,70,145
13,6,11,489,19,379,567,86,268,440,82,345,449,73,157,289,97,278
20,6,11,150,67,179,178,67,340,790,64,257,450,93,670,678,15,159
27,6,11,249,54,167,600,62,679,126,91,128,300,35,366,167,40,235
4,7,11,399,18,288,680,40,479,139,32,156,460,9,388,200,24,400
11,7,11,679,27,269,258,51,146,238,35,456,267,56,349,445,32,147
18,7,11,358,69,180,278,74,347,789,45,122,280,3,346,380,16,367
25,7,11,188,79,667,500,52,129,378,86,448,234,94,590,377,73,580
