6,5,13,235,1,245,347,40,190,157,36,790,479,8,134,358,64,167,239,40,578
13,5,13,158,46,240,560,17,179,290,12,110,189,91,128,130,48,468,289,92,129
20,5,13,790,60,479,899,64,239,115,76,150,149,48,567,370,4,347,590,42,156
27,5,13,178,64,446,168,57,269,457,60,127,800,83,139,448,62,156,145,0,488
3,6,13,570,26,367,126,90,118,778,25,357,579,11,100,404,404,404,404,404,404
10,6,13,680,43,256,299,4,248,277,67,188,236,12,129,480,29,180,178,68,224
17,6,13,570,24,158,460,6,367,790,69,559,450,97,179,288,85,122,157,32,147
24,6,13,180,94,590,128,11,560,148,34,680,880,63,788,356,44,149,488,6,358
1,7,13,159,57,124,224,88,459,149,40,190,788,31,470,790,61,290,238,32,688
8,7,13,680,45,159,233,85,690,239,41,146,144,96,268,450,99,126,190,8,233
15,7,13,567,82,156,455,41,290,137,12,660,388,98,116,468,87,160,347,42,246
22,7,13,880,68,459,568,90,190,359,79,577,189,82,129,146,19,388,269,71,489
29,7,13,137,14,112,223,72,345,789,43,139,390,22,778,366,58,260,450,94,590
5,8,13,246,26,169,457,62,589,190,5,889,160,73,788,404,404,404,404,404,404
12,8,13,116,86,367,278,76,240,340,74,699,404,404,404,360,91,669,568,95,456
19,8,13,169,65,267,990,88,369,250,76,240,280,0,235,388,94,158,237,21,470
26,8,13,245,10,677,260,80,668,159,52,156,112,41,137,119,17,467,680,44,167
2,9,13,240,60,190,158,49,199,268,61,678,477,87,188,246,24,446,480,22,589
9,9,13,404,404,404,138,27,160,488,2,345,560,13,779,129,29,234,470,13,445
16,9,13,128,11,119,569,4,167,779,36,259,490,32,778,557,78,134,578,2,138
23,9,13,359,79,126,159,57,467,167,49,478,122,50,145,146,19,180,246,26,150
30,9,13,256,36,899,688,29,270,125,85,357,599,37,368,568,92,156,689,39,469
7,10,13,189,81,155,157,32,679,345,21,137,123,69,270,490,39,234,177,57,340
14,10,13,369,88,378,138,23,689,136,5,159,679,22,156,129,26,349,279,84,455
21,10,13,788,39,356,670,37,368,890,71,399,150,63,256,178,61,678,236,14,112
28,10,13,660,20,569,559,95,348,580,39,568,126,91,380,404,404,404,404,404,404
11,11,13,890,72,390,290,12,138,880,63,256,156,21,128,139,37,160,246,24,455
18,11,13,600,65,357,140,51,290,126,93,238,689,38,125,128,19,360,230,59,180
25,11,13,266,47,188,178,67,890,778,20,190,145,9,234,169,61,137,256,38,189
2,12,13,700,78,468,177,54,149,230,51,560,380,17,124,600,60,127,269,75,168
9,12,13,479,6,259,789,44,220,890,75,168,260,88,189,690,51,146,346,38,279
19,12,13,190,3,300,460,6,240,134,84,770,568,98,369,470,19,559,478,95,267
23,12,13,223,70,136,189,89,900,247,38,378,588,19,234,489,13,139,699,47,359
30,12,13,122,53,689,778,22,345,190,8,468,349,64,699,189,85,357,149,47,278
6,1,14,670,31,146,589,21,227,699,48,279,113,58,134,479,9,379,567,82,110
13,1,14,489,18,170,404,404,404,446,46,790,680,49,126,124,76,169,390,27,179
20,1,14,337,30,578,149,49,180,112,42,147,578,2,679,478,90,190,157,36,448
27,1,14,460,7,267,228,28,350,170,83,139,237,20,578,599,32,390,890,70,299
3,2,14,125,89,667,570,29,379,270,96,178,247,34,149,560,14,257,367,61,236
10,2,14,246,26,358,699,43,689,380,10,244,248,41,128,336,29,469,245,13,247
17,2,14,680,46,600,360,98,279,229,39,234,568,93,157,168,51,560,469,97,115
24,2,14,590,47,458,558,89,379,119,16,178,289,90,488,267,53,120,234,93,689
3,3,14,349,69,180,138,25,168,346,39,568,116,82,679,246,27,188,457,60,668
10,3,14,236,16,178,146,19,270,449,76,178,790,68,459,110,26,169,489,14,446
17,3,14,404,404,404,490,39,469,256,31,146,189,86,169,236,11,380,125,84,158
24,3,14,404,404,404,889,53,148,157,30,578,248,43,670,369,88,468,799,52,156
