31,12,12,237,22,110,239,41,290,440,81,344,235,6,889,156,20,389,346,38,224
7,1,13,380,16,277,448,62,390,270,98,468,350,81,489,256,34,446,366,52,129
14,1,13,404,404,404,580,34,130,178,66,259,299,1,137,119,16,790,479,8,170
21,1,13,170,84,770,470,11,669,369,86,178,148,39,568,250,71,290,404,404,404
28,1,13,259,68,558,235,8,125,147,23,247,136,1,489,500,51,470,270,97,124
4,2,13,224,82,480,249,52,228,469,93,355,124,70,389,377,71,146,357,58,288
11,2,13,230,55,339,478,96,556,246,29,568,179,77,340,134,83,120,467,70,569
18,2,13,589,20,190,469,92,660,130,46,178,490,31,588,145,2,228,368,77,250
25,2,13,560,16,556,128,19,900,126,98,189,250,79,289,334,3,166,449,70,0
4,3,13,148,38,468,490,36,169,246,27,124,168,54,347,238,32,570,890,75,267
11,3,13,259,62,570,123,76,457,157,30,244,369,83,445,188,72,237,247,30,190
18,3,13,156,23,120,660,22,156,190,4,130,259,66,349,356,48,260,129,27,269
25,3,13,156,22,228,677,6,899,404,404,404,450,90,145,130,46,600,890,77,124
1,4,13,340,75,500,660,23,346,136,1,344,148,30,145,470,17,340,589,23,238
8,4,13,368,71,290,469,99,126,148,34,356,370,0,550,170,85,230,490,32,589
15,4,13,467,73,139,115,75,122,670,38,224,279,85,799,148,36,178,347,43,788
22,4,13,169,65,140,340,73,670,149,48,990,689,34,239,260,88,567,789,41,669
29,4,13,334,6,790,789,49,180,169,68,350,590,40,677,266,40,118,477,86,457
6,5,13,100,10,127,677,8,260,146,16,259,260,87,269,125,83,490,479,4,257
13,5,13,289,90,145,347,41,146,580,38,189,379,92,390,660,25,348,590,45,348
20,5,13,580,39,270,259,64,799,170,88,170,470,10,127,248,41,560,337,30,118
27,5,13,188,70,389,456,57,340,467,74,347,144,95,780,589,20,280,156,23,157
3,6,13,389,3,490,788,36,349,160,79,478,359,77,250,114,61,399,444,20,460
