6,5,13,570,24,167,380,12,156,250,76,169,466,64,356,799,57,278,457,62,147,404,404,404
13,5,13,369,81,290,478,95,348,677,6,240,370,9,126,147,27,368,247,34,130,130,49,450
20,5,13,156,20,578,125,82,678,149,49,900,245,13,157,490,31,470,277,63,148,470,19,667
27,5,13,890,78,116,247,34,239,370,5,456,449,70,226,190,2,237,147,27,115,569,6,448
3,6,13,257,48,125,220,47,357,889,53,247,560,18,116,404,404,404,404,404,404,404,404,404
10,6,13,367,69,289,467,75,168,137,14,158,245,10,578,129,23,139,288,81,146,560,15,447
17,6,13,247,32,129,115,71,560,479,5,113,789,48,468,360,96,880,189,80,127,129,22,246
24,6,13,380,15,780,177,54,257,590,40,677,499,27,269,134,85,249,129,27,124,478,98,134
1,7,13,245,12,156,440,89,180,128,16,358,226,1,155,144,97,160,158,44,266,148,32,778
8,7,13,467,78,378,568,93,346,260,82,147,390,27,368,899,68,233,278,75,168,159,50,235
15,7,13,459,81,100,230,55,168,470,17,160,145,43,580,369,86,169,280,8,279,146,14,770
22,7,13,900,94,112,255,22,228,346,39,126,455,43,580,369,86,169,280,8,279,146,14,770
29,7,13,145,3,346,288,80,118,258,58,800,169,61,128,110,28,260,167,46,169,124,71,678
5,8,13,380,17,269,270,95,456,117,91,380,337,36,222,404,404,404,133,71,100,124,74,149
12,8,13,590,42,660,688,23,247,668,6,556,404,404,404,478,91,137,189,88,170,580,39,577
19,8,13,223,77,890,404,404,404,670,39,360,169,67,278,578,9,180,600,63,256,250,77,368
26,8,13,145,7,368,447,59,559,368,72,246,137,11,380,459,86,367,348,51,146,389,8,125
2,9,13,790,64,347,180,90,145,356,46,349,279,89,469,670,33,148,600,68,477,578,0,280
9,9,13,404,404,404,688,23,148,180,93,157,144,95,500,224,82,570,115,76,240,257,49,568
16,9,13,490,34,257,790,61,588,334,8,567,390,24,458,479,94,112,268,69,360,356,44,112
23,9,13,289,90,235,155,17,124,480,28,189,660,20,668,577,93,670,348,51,678,256,35,366
30,9,13,670,39,126,257,44,338,189,87,467,389,3,490,128,15,249,346,32,237,669,17,890
7,10,13,145,3,166,344,15,177,699,45,690,688,29,360,457,66,899,167,47,250,404,404,404
14,7,13,249,59,126,580,31,100,404,404,404,146,16,358,289,92,660,146,19,568,368,73,580
21,10,13,277,69,468,268,67,223,258,50,460,367,67,258,226,9,270,250,79,199,340,74,130
28,10,13,390,21,489,790,63,166,459,86,457,469,98,350,404,404,404,404,404,404,404,404,404
11,11,13,169,69,289,148,31,470,170,86,558,680,43,580,290,16,178,390,27,340,116,81,128
