6,5,13,790,66,178,568,90,668,448,62,679,145,0,136,479,4,257
13,5,13,789,47,179,148,33,120,168,53,238,137,11,245,279,86,330
20,5,13,245,11,128,340,70,190,478,91,344,135,90,460,290,14,167
27,5,13,127,0,569,559,99,234,150,66,790,245,17,124,270,93,779
3,6,13,467,70,578,569,6,448,145,3,580,468,85,889,134,84,248
10,6,13,468,85,140,110,25,780,259,61,678,246,22,138,689,30,389
17,6,13,268,64,239,499,21,128,258,52,129,138,24,239,240,61,146
24,6,13,790,64,446,128,16,268,137,45,447,290,15,690,148,35,456
1,7,13,157,33,490,500,51,236,678,18,468,580,33,256,340,72,480
8,7,13,127,9,180,270,90,370,390,21,236,129,24,266,480,21,128
15,7,13,358,62,345,899,64,248,250,73,120,590,46,169,890,74,266
22,7,13,550,6,466,190,8,468,134,82,138,279,82,345,366,58,369
29,7,13,125,89,568,688,26,259,368,70,235,667,99,900,468,84,248
5,8,13,112,43,120,147,23,689,145,0,370,280,0,578,404,404,404
12,8,13,699,42,679,356,45,348,240,63,490,404,404,404,578,8,134
19,8,13,499,23,689,458,72,660,448,60,569,350,86,178,678,10,550
26,8,13,136,9,568,400,41,380,789,46,367,369,81,678,120,38,224
2,9,13,568,97,359,467,77,179,355,33,355,148,30,145,480,22,589
9,9,13,404,404,404,455,41,579,578,0,668,567,85,267,168,56,240
16,9,13,468,86,169,360,98,378,367,65,168,147,20,299,900,98,369
23,9,13,578,2,156,779,35,339,249,57,188,478,95,230,179,71,588
30,9,13,458,76,277,399,12,480,269,71,579,669,16,457,147,26,448
7,10,13,139,33,445,290,18,170,259,67,368,259,63,346,157,31,470
14,10,13,246,22,237,445,35,249,480,23,247,660,29,360,256,36,457
21,10,13,234,94,338,244,6,349,780,52,237,567,87,890,689,34,590
28,10,13,467,79,900,468,80,145,267,56,169,236,19,450,404,404,404
11,11,13,250,79,180,440,81,290,589,26,790,779,35,249,237,24,130
18,11,13,158,48,800,356,41,137,245,10,569,256,35,690,250,70,136
25,11,13,118,1,460,138,22,679,180,90,578,700,77,890,447,51,489
2,12,13,134,83,689,249,57,467,150,65,357,880,63,689,334,3,247
9,12,13,678,12,147,780,57,124,266,44,130,268,68,189,450,94,158
16,12,13,114,64,248,177,58,125,679,27,269,150,68,468,370,0,190
23,12,13,189,86,259,145,6,150,125,84,158,458,72,589,160,74,680
30,12,13,248,44,455,338,42,589,246,25,357,489,10,235,356,42,679
6,1,14,189,89,289,479,0,136,247,31,380,125,84,248,790,66,150
13,1,14,557,71,380,404,404,404,889,59,469,124,77,458,370,7,467
20,1,14,347,46,330,348,50,479,227,17,359,270,91,155,378,82,390
27,1,13,568,91,380,478,99,126,679,27,700,589,24,130,115,72,679
3,2,14,458,70,118,259,69,559,126,90,569,578,9,270,377,70,460
10,2,14,680,49,478,277,67,160,369,82,390,780,52,147,134,86,240
17,2,14,289,90,479,190,8,260,668,4,158,567,89,135,470,12,138
24,2,14,128,13,139,114,63,445,349,63,247,259,69,234,589,25,267
3,3,14,379,93,148,199,95,780,890,76,150,135,93,337,237,37,340
10,3,14,169,63,229,479,9,135,489,11,678,266,45,889,123,65,690
17,3,14,404,404,404,240,67,124,200,28,567,359,78,990,570,21,245
24,3,14,404,404,404,140,59,568,239,42,129,158,44,248,368,78,134
31,3,14,257,48,116,145,6,169,124,75,780,600,69,478,480,23,346
7,4,14,780,55,690,117,94,347,389,0,226,334,6,457,168,59,450
14,4,14,679,28,567,259,61,470,156,20,118,145,6,268,130,47,160
21,4,14,336,27,890,129,25,249,378,87,115,689,32,255,180,94,248
28,4,14,113,51,344,190,9,568,127,6,448,800,84,149,790,67,368
5,5,14,299,5,140,470,12,778,340,71,146,137,13,355,560,13,139
12,5,14,290,12,679,459,86,114,120,35,799,400,49,450,360,98,369
19,5,14,255,21,380,369,82,480,360,96,790,800,87,700,470,19,469
26,5,14,248,43,580,116,87,458,247,36,349,135,92,246,380,10,370
2,6,14,179,74,699,570,22,156,245,15,168,569,4,257,357,57,124
9,6,14,690,54,789,347,46,169,137,13,670,156,21,678,590,48,134
16,6,14,249,56,880,136,0,677,190,8,260,140,50,127,399,13,689
23,6,14,148,30,569,134,87,160,480,22,345,890,77,359,290,19,289
30,6,14,599,35,348,180,93,788,126,98,125,568,95,357,120,30,145
7,7,14,140,50,460,159,52,349,466,66,169,789,49,126,678,19,360
14,7,14,137,19,577,145,4,680,789,42,156,389,1,380,129,23,490
21,7,14,249,51,470,660,23,689,579,12,147,290,19,469,590,44,789
28,7,14,669,12,390,404,404,404,245,10,578,235,0,370,170,89,234
4,8,14,119,10,370,689,37,458,568,95,159,456,52,110,239,43,157
11,8,14,349,66,240,560,16,457,124,70,127,678,18,477,404,404,404
18,8,14,347,43,148,157,34,356,348,54,167,780,58,170,670,37,124
25,8,14,177,57,890,390,29,667,270,94,680,799,55,456,140,57,467
1,9,14,178,69,469,230,55,267,123,66,268,689,31,579,259,66,367
8,9,4,156,22,390,247,37,467,780,58,459,570,29,199,357,56,169
15,9,14,500,59,126,156,26,240,130,48,378,379,98,800,569,3,238
22,9,14,480,20,389,139,33,157,460,5,889,115,70,389,129,29,469
29,9,14,889,52,499,689,36,123,579,10,460,138,28,170,189,85,168
6,10,14,358,61,290,339,53,689,247,33,148,478,97,124,357,50,190
13,10,14,268,65,140,790,64,356,169,61,380,378,81,399,180,92,480
27,10,14,678,15,249,478,99,568,256,31,489,590,45,690,778,28,170
3,11,14,234,98,189,570,23,148,378,89,126,256,37,115,670,31,227
10,11,14,589,22,778,569,3,139,568,97,458,229,31,146,124,70,226
17,11,14,137,17,269,450,98,189,339,55,780,235,5,159,255,23,139
24,11,14,133,73,689,469,97,340,234,91,489,379,96,556,779,36,240
1,12,14,478,90,127,158,43,580,567,81,128,890,70,370,459,81,290
8,12,14,599,30,226,178,65,258,690,56,240,460,6,880,270,90,145
15,12,14,368,76,259,360,95,168,379,91,128,146,15,122,240,62,679
22,12,14,235,3,157,188,76,123,459,87,890,113,53,120,679,24,789
29,12,14,169,66,880,112,44,158,139,33,689,349,61,579,489,13,670
5,1,15,170,85,113,460,0,145,678,12,138,159,54,278,400,41,236
12,1,15,688,20,479,124,72,570,404,404,404,160,75,113,137,17,449
19,1,15,230,54,257,155,15,357,168,52,246,770,48,990,157,36,556
