4,1,10,559,95,780,367,61,119,379,91,470,240,69,135,490,35,690,268,69,469
11,1,10,260,80,280,445,37,449,127,5,456,404,404,404,238,31,579,178,67,467
18,1,10,179,76,222,346,36,367,389,7,278,156,24,266,569,9,289,467,75,348
25,1,10,237,21,245,404,404,404,149,42,246,149,40,127,138,21,470,135,94,248
1,2,10,228,24,149,880,64,699,169,61,470,679,28,558,369,88,260,369,87,368
8,2,10,344,11,470,280,3,670,699,43,256,156,28,567,147,20,145,123,69,270
15,2,10,340,70,190,157,34,347,246,24,257,378,84,338,157,33,670,237,29,135
22,2,10,479,8,350,123,60,118,137,12,499,250,70,235,278,73,445,679,28,567
1,3,10,404,404,404,249,56,448,469,98,279,125,89,667,240,64,112,577,99,270
8,3,10,679,29,289,147,26,123,167,41,335,359,76,150,239,42,688,390,26,150
15,3,10,666,88,134,230,51,227,699,44,455,690,51,579,567,84,257,190,0,479
22,3,10,477,86,277,700,71,245,480,25,113,680,46,123,238,37,368,168,51,380
29,3,10,899,64,257,289,98,279,114,66,240,457,69,478,458,75,889,289,95,348
5,4,10,469,96,277,179,71,335,490,33,238,124,78,170,350,89,135,156,23,580
12,4,10,168,54,455,789,47,223,556,62,688,259,66,114,127,4,158,224,80,235
19,4,10,577,72,688,190,3,238,230,58,170,668,1,489,149,40,127,778,21,399
26,4,10,668,5,258,113,50,235,599,30,226,670,30,136,370,5,690,110,25,168
3,5,10,346,36,358,458,77,467,569,2,778,389,1,137,358,66,367,455,49,289
10,5,10,158,43,238,234,91,560,168,58,170,114,64,220,179,73,670,177,59,270
17,5,10,670,31,579,360,90,280,335,17,359,267,51,560,259,65,258,599,37,269
24,5,10,240,60,190,788,31,380,359,75,889,778,25,456,246,21,245,167,49,270
31,5,10,345,24,356,667,91,227,369,83,247,340,75,456,456,56,448,279,89,478
7,6,10,688,29,225,257,49,379,346,38,170,226,9,450,378,88,125,690,53,670
14,6,10,666,82,138,158,41,579,570,27,133,570,28,378,350,83,346,667,98,459
21,6,10,190,6,367,689,34,680,689,31,137,457,61,560,477,80,460,789,46,178
28,6,10,499,28,477,577,94,446,450,91,399,568,91,344,778,21,146,390,21,128
5,7,10,404,404,404,223,70,479,118,9,388,257,47,458,889,54,699,359,71,560
12,7,10,360,98,279,118,2,570,500,54,590,358,67,566,170,80,226,578,7,368
19,7,10,168,51,245,568,99,478,790,62,570,289,94,590,149,41,380,578,1,290
26,7,10,128,99,126,256,30,460,690,54,239,490,36,457,150,63,139,256,34,239
2,8,10,578,4,158,257,47,179,147,24,220,160,77,467,167,48,170,478,95,267
9,8,10,147,29,667,233,80,244,459,80,569,156,25,258,290,12,156,679,29,469
16,8,10,448,67,269,566,75,339,115,71,399,459,81,588,139,39,559,370,5,267
23,8,10,150,62,228,404,404,404,189,88,350,245,11,489,378,80,479,289,93,346
30,8,10,690,50,136,360,90,127,337,36,150,159,51,146,499,28,224,780,53,599
6,9,10,780,52,679,577,95,357,490,33,148,580,37,278,404,404,404,404,404,404
13,9,10,358,66,259,679,22,345,237,20,389,368,72,345,890,72,129,250,75,339
20,9,10,124,72,110,124,74,158,115,72,156,199,99,577,178,68,558,245,16,178
27,9,10,366,58,260,124,70,190,380,17,458,600,61,236,368,74,699,790,63,689
4,10,10,660,28,558,338,45,113,160,76,790,158,40,389,490,32,480,126,98,279
11,10,10,330,62,570,280,3,157,467,71,128,239,49,379,138,25,230,679,24,680
18,10,10,199,95,366,800,89,568,248,46,123,899,65,267,146,16,367,788,38,468
25,10,10,157,31,344,470,16,240,479,6,240,489,18,170,160,78,468,138,28,125
8,11,10,404,404,404,404,404,404,135,90,226,668,5,249,300,31,236,788,39,126
15,11,10,800,84,446,578,9,469,404,404,404,559,90,668,379,96,790,889,50,244
22,11,10,480,21,669,469,98,459,347,43,355,669,14,220,289,98,459,470,19,478
29,11,10,680,46,457,680,48,134,134,84,239,178,61,100,189,87,124,368,77,458
6,12,10,358,61,579,560,17,890,480,24,356,268,64,347,249,58,189,470,15,249
13,12,10,224,84,347,370,5,249,566,77,368,258,59,450,179,74,590,148,35,159
20,12,10,245,13,670,678,13,256,134,89,126,359,70,460,348,56,358,280,6,358
27,12,10,130,44,257,468,86,178,345,23,256,379,93,355,289,91,146,133,7,340
3,1,11,160,77,115,170,86,899,137,11,137,239,43,157,236,14,239,288,87,269
10,1,11,166,39,144,788,38,279,789,44,257,556,60,460,404,404,404,580,36,556
17,1,11,269,79,360,348,59,234,390,28,279,278,73,256,278,75,256,140,52,147
24,1,11,489,19,126,339,51,227,404,404,404,180,94,590,134,83,300,790,67,467
31,1,11,790,67,359,160,76,349,169,60,280,345,20,127,579,19,126,478,97,160
7,2,11,348,57,179,248,40,370,679,25,366,238,31,290,190,8,260,178,61,579
14,2,11,367,69,379,390,25,168,190,1,470,689,30,334,278,73,120,134,80,479
21,2,11,599,36,367,245,18,468,146,14,158,668,9,577,559,96,358,336,24,338
28,2,11,138,27,458,679,29,577,567,86,330,689,30,145,355,31,236,334,6,178
7,3,11,688,29,144,157,33,337,258,50,235,779,38,440,578,9,180,360,98,125
14,3,11,780,52,237,168,52,345,115,78,567,159,51,128,679,21,236,780,54,248
21,3,11,589,24,888,800,82,660,459,85,249,159,52,390,590,44,338,249,54,130
28,3,11,125,82,570,277,67,368,136,0,578,457,68,558,478,95,690,404,404,404
4,4,11,690,54,347,457,69,117,450,97,188,489,12,138,450,97,379,378,82,129
11,4,11,267,56,178,246,22,589,159,54,158,358,65,249,689,34,347,159,53,490
18,4,11,470,16,367,390,29,450,479,0,244,579,17,458,280,7,188,660,22,147
25,4,11,347,46,449,100,18,125,790,60,280,240,61,119,280,2,170,123,64,158
2,5,11,680,47,188,130,44,699,600,64,338,260,82,570,570,28,279,479,4,158
9,5,11,223,71,137,359,76,349,346,35,249,224,87,115,459,82,138,150,66,448
16,5,11,349,60,668,269,74,239,499,27,368,137,10,578,456,51,380,459,85,690
23,5,11,280,4,112,177,58,279,899,61,227,357,51,344,779,39,117,166,32,200
30,5,11,240,67,368,257,43,689,669,19,289,224,80,226,357,57,359,230,58,260
6,6,11,289,91,236,689,39,180,590,44,257,158,40,190,190,33,238,137,16,123
13,6,11,257,40,280,288,83,899,590,47,458,269,79,289,390,26,466,470,11,236
20,6,11,667,90,299,340,77,269,134,84,699,157,33,148,136,0,389,359,73,346
27,6,11,470,17,467,670,39,129,140,59,135,470,11,245,457,66,268,590,44,149
4,7,11,579,19,568,258,50,190,335,19,135,469,94,220,580,33,689,250,78,369
11,7,11,266,4,257,456,57,188,136,3,445,244,7,278,356,40,127,248,42,345
18,7,11,248,40,280,889,57,458,690,51,489,368,72,156,678,16,790,460,7,340
25,7,11,349,60,127,338,44,789,117,98,800,234,98,260,577,96,330,489,10,229
1,8,11,290,19,234,246,22,246,246,22,688,277,62,147,170,82,390,157,38,189
8,8,11,122,53,670,670,36,880,180,95,780,245,18,477,358,69,270,404,404,404
15,8,11,404,404,404,790,60,226,449,74,356,680,44,347,338,43,148,479,9,225
22,8,11,138,25,348,358,67,278,358,65,159,469,97,124,280,0,235,379,94,112
29,8,11,110,26,790,148,32,138,404,404,404,468,88,125,404,404,404,350,81,579
