12,12,19,480,26,358,146,17,250,557,77,188,239,48,260,140,52,147,349,69,450,234,92,679
6,1,20,248,45,230,588,13,346,560,19,478,480,29,270,369,85,230,236,14,347,149,46,169
13,1,20,246,24,356,123,66,358,380,10,479,690,52,156,170,89,478,460,1,146,246,27,250
20,1,20,370,6,240,123,68,279,146,10,677,190,1,579,240,62,156,348,59,568,117,92,345
27,1,20,380,13,148,250,78,369,459,89,180,167,49,289,780,53,689,379,92,200,257,40,145
3,2,20,178,69,126,290,19,270,140,55,159,290,17,557,490,36,123,134,82,570,248,41,236
10,2,20,228,29,270,236,11,290,558,88,279,479,1,579,260,83,148,360,91,489,230,56,178
17,2,20,378,88,477,346,33,445,568,95,140,127,7,458,346,38,558,180,96,268,257,41,128
24,2,20,458,78,125,557,74,257,790,63,346,330,68,477,244,2,570,358,61,470,348,52,570
2,3,20,130,46,358,568,92,129,489,19,450,377,78,260,466,68,350,299,3,148,245,19,126
9,3,20,336,23,120,569,2,589,580,31,290,180,90,299,220,47,340,230,56,169,247,31,245
16,3,20,668,5,780,125,82,345,125,86,367,478,92,480,490,38,134,237,25,357,499,22,156
11,5,20,250,72,147,169,66,349,136,0,127,690,52,570,134,82,345,347,41,236,380,17,188
18,5,20,770,45,357,345,21,678,478,91,137,440,83,148,189,86,178,466,69,450,227,17,359
25,5,20,190,1,146,290,15,267,347,41,470,379,96,150,180,90,145,257,45,159,489,10,578
1,6,20,250,75,258,469,91,470,299,2,345,126,92,138,300,35,456,359,71,489,588,19,199
8,6,20,280,7,269,448,65,267,126,99,559,499,27,557,500,54,789,126,97,250,899,60,145
15,6,20,290,15,348,479,3,256,234,96,178,560,10,578,679,25,140,290,15,258,347,42,246
22,6,20,146,11,128,490,32,138,169,65,456,490,37,557,356,49,180,579,11,669,478,91,470
29,6,20,440,82,589,588,14,680,124,74,130,227,13,355,370,2,129,289,94,680,459,80,244
6,7,20,290,16,240,127,7,188,169,63,238,799,59,270,290,17,250,479,6,268,113,51,236
13,7,20,345,21,155,368,74,257,247,30,569,577,92,129,158,42,589,358,61,489,249,54,266
20,7,20,137,15,348,689,31,678,167,48,279,259,67,179,358,67,179,247,33,148,346,36,466
27,7,20,289,91,579,350,86,178,670,39,478,579,13,139,350,89,478,339,56,123,188,73,120
3,8,20,123,65,780,135,99,379,369,86,349,379,93,300,479,3,490,256,35,267,137,19,360
10,8,20,190,3,490,235,7,179,358,68,350,130,45,258,269,72,499,145,7,188,236,11,579
17,8,20,346,32,570,569,7,160,137,10,127,567,83,157,667,96,349,125,86,259,246,21,678
24,8,20,350,87,250,479,2,390,499,22,147,689,36,358,559,94,257,290,14,680,134,84,220
31,8,20,680,47,377,125,86,240,469,93,238,134,85,168,478,91,470,129,28,378,247,37,368
7,9,20,270,94,770,560,18,134,588,19,289,220,45,267,124,70,136,889,59,234,280,2,246
14,9,20,147,26,330,239,48,233,169,67,278,269,73,346,248,40,127,137,18,170,899,67,124
21,9,20,689,30,235,190,1,128,370,8,369,350,82,147,120,30,677,239,44,130,678,14,158
28,9,20,147,29,379,345,25,140,147,28,369,789,43,157,367,65,267,560,11,579,479,0,127
5,10,20,250,73,689,190,7,890,234,96,268,569,1,236,599,31,489,167,49,450,500,57,124
12,10,20,370,9,478,188,72,345,240,64,158,123,62,778,128,15,140,330,69,135,158,42,480
19,10,20,780,58,440,340,70,190,570,21,380,470,15,258,469,93,788,680,47,467,558,86,150
26,10,20,234,94,149,340,73,788,470,14,789,550,8,279,125,89,469,340,76,123,358,62,589
2,11,20,113,55,140,345,29,450,679,27,250,590,42,499,670,30,235,448,64,680,290,14,789
9,11,20,468,86,358,270,94,149,124,74,680,220,44,590,230,52,246,146,18,468,229,34,112
16,11,20,479,7,467,179,73,599,180,93,148,560,10,370,680,48,170,112,43,580,780,51,100
23,11,20,123,64,590,139,37,250,134,81,119,340,71,128,150,62,129,490,34,248,358,69,126
