31,12,12,890,75,267,178,69,478,128,12,138,239,41,489,237,28,170,146,13,256,458,70,235
7,1,13,126,96,349,577,95,249,478,91,227,468,83,580,478,96,899,260,88,350,169,66,349
14,1,13,404,404,404,470,10,244,457,62,237,200,26,790,249,56,268,270,93,445,404,404,404
21,1,13,460,5,690,177,57,133,135,90,479,568,95,267,380,10,460,404,404,404,160,77,278
28,1,13,670,36,880,380,10,370,127,8,233,146,16,790,790,67,278,349,66,349,468,89,289
4,2,13,270,97,340,120,31,669,559,93,238,457,63,256,147,22,345,378,83,355,249,53,157
11,2,13,458,77,124,230,58,378,499,23,670,470,17,340,360,90,569,345,27,340,337,36,268
18,2,13,235,9,478,899,63,445,147,20,235,689,37,115,188,72,110,268,64,158,378,87,340
25,2,13,349,66,268,678,19,360,369,84,356,279,85,159,370,5,348,788,39,360,689,35,780
4,3,13,237,26,114,990,88,189,890,71,560,667,93,490,249,53,247,267,57,179,345,24,248
11,3,13,178,60,389,780,57,160,160,74,680,469,99,234,348,53,300,567,87,124,480,21,489
18,3,13,289,99,126,377,74,158,127,9,900,126,92,679,556,60,370,136,9,450,230,56,114
25,3,13,890,70,136,355,34,789,404,404,404,150,63,148,278,72,589,179,76,178,127,6,466
1,4,13,678,12,345,237,22,138,158,47,124,370,4,356,129,23,148,790,64,257,140,59,360
8,4,13,489,18,189,169,60,479,148,31,245,467,78,369,330,66,790,145,4,266,277,61,380
15,4,13,268,61,100,478,93,120,290,18,369,166,31,155,479,3,157,477,87,449,258,54,149
22,4,13,240,66,358,478,91,137,255,27,160,347,45,799,456,53,148,358,66,277,356,43,157
29,4,13,168,53,490,117,94,130,360,93,247,456,51,128,127,1,344,249,58,990,126,90,280
6,5,13,459,83,238,123,66,448,344,15,889,450,99,568,558,86,123,589,27,368,168,57,269
13,5,13,244,1,489,290,12,589,125,86,349,488,8,468,236,12,237,356,41,128,237,22,589
20,5,13,566,70,334,789,47,566,567,89,577,126,92,156,459,86,178,380,13,157,569,9,577
27,5,13,256,34,446,168,58,122,240,64,770,679,24,130,580,30,389,459,86,466,167,40,136
3,6,13,459,84,680,459,89,900,359,74,167,390,26,330,404,404,404,340,76,367,800,82,778
10,6,13,689,33,580,469,91,146,245,19,360,459,88,125,126,94,699,580,33,120,457,61,489
17,6,13,130,40,145,369,87,566,120,37,269,499,29,234,380,0,677,448,67,250,237,25,366
24,6,13,236,16,123,149,47,700,146,14,158,136,2,156,579,2,570,156,21,560,450,92,237
1,7,13,130,48,170,356,45,780,177,52,499,350,89,379,290,19,478,117,95,348,378,81,146
8,7,13,122,59,126,346,35,140,258,58,125,679,28,125,115,71,344,790,60,280,233,81,344
15,7,13,370,1,380,124,70,235,446,48,288,170,85,122,124,76,268,158,48,288,167,40,578
22,7,13,679,21,380,256,32,237,368,71,100,279,81,560,129,20,370,350,87,458,190,8,134
29,7,13,588,12,570,347,42,237,113,53,300,246,25,140,499,24,590,390,21,128,266,46,448
5,8,13,134,80,578,259,65,230,670,38,990,238,39,270,404,404,404,269,70,145,136,5,348
12,8,13,239,40,136,238,37,368,580,36,259,404,404,404,457,69,270,448,65,258,250,74,789
19,8,13,568,90,389,404,404,404,457,60,569,489,16,600,257,42,589,688,25,230,459,89,669
26,8,13,240,61,236,448,65,447,239,42,255,489,10,370,689,38,125,670,30,668,367,65,249
2,9,13,247,34,158,180,94,699,890,76,457,458,73,247,119,17,133,247,39,144,444,23,445
9,9,13,404,404,404,236,17,160,490,33,490,356,42,345,770,49,478,260,84,347,360,98,125
16,9,13,469,91,335,356,47,188,340,77,250,180,95,168,226,2,778,277,65,348,359,76,466
