1,7,19,589,24,257,269,75,357,157,39,289,580,37,890,230,57,359
8,7,19,236,13,779,116,89,225,578,2,480,457,66,268,127,9,577
15,7,19,335,14,248,489,13,256,280,2,255,237,20,136,569,8,134
22,7,19,366,59,559,588,11,560,156,25,168,388,95,168,450,93,346
29,7,19,156,21,678,147,23,788,379,98,468,789,46,556,347,43,247
5,8,19,138,20,235,356,44,699,159,52,390,349,63,157,158,49,234
12,8,19,378,80,578,347,41,155,450,95,339,404,404,404,470,18,800
19,8,19,490,35,456,189,86,448,378,82,570,227,11,678,699,49,577
26,8,19,678,11,678,460,1,245,348,59,225,130,42,570,236,12,589
2,9,19,289,87,160,145,9,577,247,31,380,357,50,569,123,65,159
9,9,19,579,17,250,178,60,479,455,48,224,578,2,156,489,17,359
16,9,19,235,8,800,347,46,178,236,11,579,135,93,166,689,38,990
23,9,19,166,38,224,299,8,260,579,18,116,790,62,480,146,13,670
30,9,19,259,63,247,479,1,380,257,49,135,239,49,379,349,62,570
7,10,19,189,87,467,467,77,179,290,15,249,445,30,460,346,30,145
14,10,19,669,13,599,378,85,267,670,31,560,690,59,469,690,50,136
21,10,19,146,17,133,478,98,189,117,91,678,347,46,457,404,404,404
4,8,19,130,40,668,370,4,356,270,96,899,299,4,248,457,66,259
11,11,19,349,65,357,688,24,257,270,90,299,235,4,446,467,78,459
18,11,19,445,33,788,355,37,890,166,32,390,790,61,470,568,98,378
25,10,19,499,29,469,458,72,688,346,38,800,157,32,147,568,99,144
2,12,19,789,44,158,890,72,129,388,98,458,145,2,570,270,94,149
9,12,19,134,81,669,668,0,578,790,69,135,359,72,570,160,70,244
16,12,19,228,24,446,590,42,570,239,41,146,233,46,277,136,0,226
23,12,19,180,97,188,235,9,360,890,71,489,136,6,899,248,46,259
30,12,19,346,30,578,267,59,180,160,73,445,356,45,339,356,45,249
6,1,20,140,59,234,125,84,789,478,90,280,488,7,566,660,29,180
13,1,20,136,9,135,345,24,266,179,74,400,237,27,269,127,4,112
20,1,20,240,67,160,267,53,788,134,81,146,449,79,478,566,73,779
27,1,20,136,8,350,367,66,367,116,88,567,370,6,330,358,64,266
3,2,20,159,51,290,130,45,267,268,66,259,579,12,138,145,1,137
10,2,20,678,17,340,133,72,129,126,99,478,466,67,269,127,3,137
17,2,20,890,76,358,129,25,456,360,80,190,259,67,449,127,3,157
24,2,20,248,48,477,259,67,160,457,66,240,459,84,239,470,15,780
2,3,20,269,72,778,789,40,145,700,79,469,680,43,300,144,92,156
9,3,20,245,13,148,404,404,404,147,29,450,568,99,289,467,71,399
16,3,20,157,33,689,578,7,458,247,31,344,369,83,346,246,27,458
11,5,20,224,81,380,245,15,249,578,1,344,480,22,147,244,8,369
18,5,20,113,58,279,240,61,380,249,56,358,249,59,179,289,91,579
1,6,20,446,65,267,677,5,122,149,43,779,679,21,227,579,18,170
8,6,20,268,65,780,340,77,700,336,29,135,458,77,269,125,86,899
15,6,20,178,60,190,370,6,899,359,76,259,170,87,368,247,35,690
22,6,20,499,26,349,490,30,578,340,79,289,679,28,134,468,82,345
29,6,20,459,86,899,179,78,459,256,32,679,159,52,589,570,24,248
6,7,20,156,22,229,990,84,257,446,45,888,156,20,136,348,52,147
13,7,20,178,67,467,567,87,278,338,41,128,377,73,779,488,0,127
20,7,20,458,70,299,779,30,550,250,73,355,359,73,247,230,56,123
27,7,20,236,19,388,470,19,360,689,36,240,455,46,150,458,79,577
3,8,20,120,32,138,146,16,349,245,11,245,690,59,126,229,31,380
10,8,20,167,42,570,379,94,590,689,31,137,367,67,160,129,27,179
17,8,20,370,8,170,300,37,566,119,13,599,470,18,224,234,98,369
24,8,20,368,71,489,338,41,489,168,57,467,270,98,233,699,40,334
31,8,20,560,19,379,477,89,469,479,5,456,567,88,125,179,88,134
7,9,20,147,29,126,220,46,790,130,46,178,369,88,170,569,8,189
14,9,20,335,18,459,250,72,138,690,58,350,167,40,127,138,21,245
21,9,20,699,44,699,778,29,469,456,54,248,358,65,168,150,63,490
28,9,20,248,48,125,399,19,234,680,47,359,223,75,500,500,51,678
5,10,20,357,54,239,124,70,479,369,82,778,247,36,367,468,80,479
12,10,20,259,62,255,138,23,445,150,66,367,290,15,177,689,32,480
19,10,20,240,62,689,380,12,679,370,2,300,144,96,260,700,71,137
26,10,20,170,86,277,450,92,688,168,56,169,139,38,468,157,35,690
2,11,20,799,53,337,180,99,180,478,93,300,458,74,789,138,22,246
23,11,20,460,8,233,470,14,680,157,31,669,247,35,267,133,73,355
30,11,20,267,56,457,470,10,389,150,60,334,148,31,238,479,7,458
7,12,20,267,56,899,130,47,250,269,79,379,136,8,134,158,43,599
14,12,20,669,14,770,345,24,257,489,17,467,157,39,234,677,4,239
21,12,20,245,10,118,679,28,260,357,56,358,889,55,177,228,8,567
28,12,20,469,93,157,156,24,167,147,24,338,378,89,126,160,78,459
4,1,21,247,32,589,245,13,670,780,55,799,679,21,470,450,99,360
11,1,21,267,57,278,468,83,247,127,2,589,479,7,278,336,28,116
18,1,21,599,38,116,670,36,349,130,48,459,277,60,668,400,45,799
25,1,21,224,82,778,404,404,404,120,32,138,134,84,448,266,44,356
1,2,21,256,39,559,140,58,189,144,99,289,377,72,570,279,81,137
8,2,21,890,75,690,445,33,247,189,81,245,800,88,260,299,9,568
15,2,21,580,34,338,357,59,577,267,59,289,550,2,237,446,42,589
22,2,21,499,28,260,780,51,137,227,14,356,556,64,239,490,33,256
1,3,21,270,94,400,477,81,579,189,87,458,234,94,356,158,47,188
8,3,21,266,47,458,456,52,688,669,17,179,356,46,259,458,76,367
15,3,21,358,61,137,790,64,338,379,99,270,112,40,578,388,94,257
22,3,21,467,77,890,178,65,348,448,68,116,390,24,446,467,71,245
29,3,21,404,404,404,256,39,559,268,65,456,113,55,177,114,68,800
5,4,21,367,67,359,478,93,779,789,40,460,229,33,157,389,6,136
12,4,21,347,48,238,355,37,359,135,93,157,338,42,110,267,52,390
19,4,21,112,43,247,160,73,337,780,57,223,367,68,279,480,23,168
26,4,21,340,78,369,457,63,337,569,7,250,270,93,247,399,15,456
3,5,21,560,10,244,779,37,890,267,59,180,158,40,136,345,22,138
10,5,21,568,91,245,139,33,346,158,45,267,379,93,256,117,90,479
17,5,21,156,22,688,223,79,144,260,82,156,799,50,370,699,48,260
24,5,21,357,50,488,137,11,227,456,56,466,135,96,240,145,1,470
31,5,21,134,84,680,169,67,188,126,97,269,279,89,117,149,46,358
7,6,21,590,42,110,600,65,159,480,23,139,670,32,679,237,24,149
14,6,21,360,98,440,489,19,568,348,58,468,479,6,600,456,53,300
21,6,21,166,38,459,135,96,367,248,47,160,489,11,290,247,35,889
28,6,21,300,33,788,255,26,259,579,17,368,120,32,228,680,48,440
5,7,21,190,9,234,578,9,478,140,55,168,459,84,167,478,95,447
12,7,21,278,74,356,248,48,279,470,13,238,800,86,358,589,28,125
19,7,21,229,32,336,338,46,178,899,64,257,470,13,670,770,41,579
26,7,21,449,72,237,459,82,499,120,38,558,133,70,127,477,85,230
2,8,21,178,61,380,289,96,169,567,87,359,550,6,277,190,5,357
9,8,21,160,79,144,790,67,278,356,45,780,145,4,220,345,29,199
15,8,21,449,73,139,480,22,147,145,5,889,227,18,170,150,67,269
23,8,21,478,92,228,269,73,238,679,24,347,458,73,355,470,12,679
30,8,21,246,24,770,146,16,169,335,14,112,368,74,455,379,94,789
6,9,21,224,87,700,778,20,235,345,20,190,566,72,246,790,66,114
13,9,21,359,72,688,347,49,126,560,17,368,338,48,800,127,8,468
20,9,21,129,23,670,470,14,347,267,57,700,125,87,358,690,59,135
27,9,21,389,9,270,260,81,245,147,28,468,779,31,669,256,31,236
4,10,21,168,53,148,139,30,235,257,46,448,235,3,689,370,9,478
11,10,21,233,82,589,290,19,559,134,86,178,148,34,356,337,37,467
18,10,21,569,5,168,124,77,269,116,86,277,789,40,127,128,17,124
25,10,21,226,4,257,379,98,378,390,20,578,127,2,138,457,69,270
8,11,21,404,404,404,469,96,330,235,7,368,469,91,560,235,13,148
15,11,21,566,70,389,490,34,256,134,87,449,233,89,667,158,40,190
22,11,21,669,15,889,335,14,455,678,19,478,568,96,277,247,35,249
29,11,21,234,99,478,379,91,155,189,89,360,360,99,126,780,57,160
6,12,21,680,43,779,344,14,789,137,14,149,556,66,790,128,19,225
13,12,21,140,57,278,670,34,239,225,97,449,133,75,140,377,70,190
20,12,21,349,66,600,480,23,355,568,92,679,136,5,348,344,19,270
27,12,21,477,84,338,278,72,237,479,1,380,359,71,678,158,47,557
3,1,22,677,4,248,466,69,379,237,24,400,290,18,260,240,67,278
10,1,22,899,60,145,337,33,120,168,51,344,267,50,370,267,51,146
17,1,22,344,11,678,267,54,158,488,6,178,670,39,388,589,27,359
24,1,22,148,39,559,468,80,145,404,404,404,478,98,134,580,34,789
